index,State,Year,Value, Source
0,Italy,2020,-,
1,Italy,2019,-, 
2,Italy,2018,-, 
3,Italy,2017,53372, http://dati.istat.it/
4,Italy,2016,-, 
5,Italy,2015,48518, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
6,Italy,2014,41543, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
7,Italy,2013,41711, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
8,Italy,2012,43444, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
9,Italy,2011,40559, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
10,Italy,2010,38798, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
11,Italy,2009,39949, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
12,Italy,2008,37771, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
13,Italy,2007,37812, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
14,Italy,2006,35751, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
15,Italy,2005,40310, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
16,Italy,2004,34189, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
17,Italy,2003,40852, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
18,Italy,2002,35941, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
19,Italy,2001,33826, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
20,Italy,2000,37782, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
21,Italy,1999,39071, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
22,Italy,1998,37270, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
23,Italy,1997,35455, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
24,Italy,1996,32279, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
25,Italy,1995,33857, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
26,Italy,1994,33787, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
27,Italy,1993,32078, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
28,Italy,1992,32499, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
29,Italy,1991,33825, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
30,Italy,1990,35620, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
31,Italy,1989,33266, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
32,Italy,1988,34529, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
33,Italy,1987,33932, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
34,Italy,1986,38724, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
35,Italy,1985,37290, https://gateway.euro.who.int/en/indicators/hfamdb_292-deaths-diseases-of-the-respiratory-system/visualizations/#id=29884
