ITTER107,Fumatori_Tipo dato_da 11 a 20 sigarette,Fumatori_Tipo dato_da 6 a 10 sigarette,Fumatori_Tipo dato_ex fumatori,Fumatori_Tipo dato_fino a 5 sigarette,Fumatori_Tipo dato_fumatori,Fumatori_Tipo dato_non fumatori,Fumatori_Tipo dato_numero medio di sigarette al giorno,Fumatori_Tipo dato_oltre 20 sigarette,Fumatori_Tipo dato_persone di 14 anni e più fumatori che fumano sigarette
2,32.4,35.5,23.9,29.0,20.4,54.9,10.6,3.1,96.5
3,31.4,37.8,25.0,26.5,19.6,54.3,11.0,4.3,97.0
6,35.1,38.5,23.1,23.2,18.3,57.6,11.3,3.1,98.2
7,33.5,35.5,22.2,27.2,18.7,58.0,11.1,3.7,98.3
8,35.9,35.8,22.9,24.0,19.0,57.2,11.5,4.3,98.4
9,37.8,33.3,24.3,26.1,17.8,57.0,11.1,2.8,98.2
IT,34.4,35.7,23.4,26.2,19.0,56.6,11.1,3.7,97.8
ITC,31.0,35.6,24.8,29.1,19.2,55.0,10.8,4.3,97.4
ITC1,32.9,38.4,25.3,25.2,20.2,54.0,11.0,3.6,96.9
ITC2,36.5,40.0,25.5,19.5,18.7,54.7,11.5,4.0,99.1
ITC3,33.3,33.9,24.5,27.7,18.9,55.8,11.2,5.1,97.7
ITC4,29.6,34.5,24.5,31.3,18.9,55.3,10.7,4.5,97.6
ITCD,32.2,34.7,24.8,29.3,18.3,56.0,10.7,3.7,97.8
ITD,34.1,33.3,24.8,29.6,17.0,57.3,10.5,2.9,98.4
ITD1,35.9,28.4,22.8,33.5,18.7,58.1,10.2,2.2,97.2
ITD2,32.3,36.7,26.5,29.9,17.2,55.7,10.0,1.1,97.8
ITD3,29.3,35.0,23.3,33.6,16.7,58.8,9.7,2.1,98.6
ITD4,37.3,29.0,26.2,28.6,16.4,56.9,11.2,5.1,98.6
ITD5,38.5,32.9,26.2,25.2,17.5,55.8,11.3,3.4,98.3
ITDA,34.1,32.5,24.7,31.7,18.0,56.9,10.1,1.7,97.5
ITE,33.4,37.7,25.6,25.7,21.7,52.0,10.9,3.2,97.4
ITE1,33.6,33.0,26.7,29.8,20.0,52.5,10.6,3.6,98.0
ITE2,39.5,31.3,24.6,23.6,20.5,54.6,12.2,5.5,97.0
ITE3,30.5,37.7,25.4,27.2,20.4,52.9,11.0,4.7,98.5
ITE4,33.2,41.1,25.1,23.4,23.4,50.9,10.8,2.4,96.9
ITF,36.4,36.4,19.8,23.3,18.0,61.2,11.6,3.9,98.4
ITF1,37.5,34.9,24.0,24.0,19.1,56.0,11.6,3.6,98.6
ITF2,33.5,38.8,23.8,23.5,17.0,58.0,11.2,4.2,96.8
ITF3,36.8,38.3,18.5,20.2,18.7,62.0,12.0,4.7,98.5
ITF4,33.1,35.8,20.2,28.5,17.4,61.0,10.5,2.5,98.3
ITF5,35.6,41.1,20.1,17.5,19.1,58.5,12.2,5.8,98.8
ITF6,42.3,30.2,18.9,23.9,16.2,63.8,12.1,3.6,97.8
ITFG,38.1,35.7,20.3,22.3,18.3,60.2,11.8,3.9,98.1
ITG,41.5,34.3,21.5,20.3,19.0,58.2,12.2,3.9,97.7
ITG1,42.4,33.8,19.5,19.9,18.9,60.3,12.3,3.9,97.3
ITG2,38.7,35.8,27.7,21.6,19.1,52.0,12.0,4.0,98.8
